일련번호,2018년 귀속(현행)업종코드,2019년 귀속(개편후)업종코드,국세청_대분류코드,국세청_대분류,국세청_중분류코드,국세청_중분류,국세청_소분류코드,국세청_소분류,국세청_세분류코드,국세청_세분류,국세청_세세분류,국세청_연계,KSIC10_코드,KSIC10_대분류코드,KSIC10_대분류,KSIC10_중분류코드,KSIC10_중분류,KSIC10_소분류코드,KSIC10_소분류,KSIC10_세분류코드,KSIC10_세분류,KSIC10_세세분류,KSIC10_연계,메인,세부설명,KSIC10_항목명,KSIC9_코드,KSIC9_항목명
28,020300,020300,A,"농업, 임업 및 어업",02,임업,020,임업,0203,임업 관련 서비스업,임업 관련 서비스업,1,02040,A,"농업, 임업 및 어업",02,임업,20,임업,0204,임업 관련 서비스업,임업 관련 서비스업,1,,,임업 관련 서비스업,02040,임업 관련 서비스업
29,051102,051102,A,"농업, 임업 및 어업",05,어업,051,어로 어업,0511,해수면 어업,연근해 어업,1,03112,A,"농업, 임업 및 어업",03,어업,31,어로 어업,0311,해수면 어업,연근해 어업,1,,,연근해 어업,03112,연근해 어업
30,051104,051104,A,"농업, 임업 및 어업",05,어업,051,어로 어업,0511,해수면 어업,원양 어업,1,03111,A,"농업, 임업 및 어업",03,어업,31,어로 어업,0311,해수면 어업,원양 어업,1,,,원양 어업,03111,원양 어업
31,051200,051200,A,"농업, 임업 및 어업",05,어업,051,어로 어업,0512,내수면 어업,내수면 어업,1,03120,A,"농업, 임업 및 어업",03,어업,31,어로 어업,0312,내수면 어업,내수면 어업,1,,,내수면 어업,03120,내수면 어업
32,052101,052101,A,"농업, 임업 및 어업",05,어업,052,양식어업 및 어업관련 서비스업,0521,양식 어업,해수면 양식 어업,1,03211,A,"농업, 임업 및 어업",03,어업,32,양식어업 및 어업관련 서비스업,0321,양식 어업,해수면 양식 어업,1,,,해수면 양식 어업,03211,해면 양식 어업
33,052103,052103,A,"농업, 임업 및 어업",05,어업,052,양식어업 및 어업관련 서비스업,0521,양식 어업,내수면 양식 어업,1,03212,A,"농업, 임업 및 어업",03,어업,32,양식어업 및 어업관련 서비스업,0321,양식 어업,내수면 양식 어업,1,,,내수면 양식 어업,03212,내수면 양식 어업
34,052104,052104,A,"농업, 임업 및 어업",05,어업,052,양식어업 및 어업관련 서비스업,0521,양식 어업,수산물 부화 및 수산 종자 생산업,1,03213,A,"농업, 임업 및 어업",03,어업,32,양식어업 및 어업관련 서비스업,0321,양식 어업,수산물 부화 및 수산 종자 생산업,1,,,수산물 부화 및 수산종자 생산업,03213,수산물 부화 및 종묘 생산업
35,052200,052200,A,"농업, 임업 및 어업",05,어업,052,양식어업 및 어업관련 서비스업,0522,어업 관련 서비스업,어업 관련 서비스업,1,03220,A,"농업, 임업 및 어업",03,어업,32,양식어업 및 어업관련 서비스업,0322,어업 관련 서비스업,어업 관련 서비스업,1,,,어업 관련 서비스업,03220,어업 관련 서비스업
36,101000,101000,B,광업,10,"석탄, 원유 및 천연가스 광업",101,석탄 광업,1010,석탄 광업,석탄 광업,1,05100,B,광업,05,"석탄, 원유 및 천연가스 광업",51,석탄 광업,0510,석탄 광업,석탄 광업,2,1,,석탄 광업,05100,석탄 광업
37,101000,101001,B,광업,10,비금속광물 광업; 연료용 제외,101,기타 비금속광물 광업,1010,그 외 기타 비금속광물 광업,그 외 기타 비금속광물 광업,1,07290,B,광업,07,비금속광물 광업; 연료용 제외,72,기타 비금속광물 광업,0729,그 외 기타 비금속광물 광업,그 외 기타 비금속광물 광업,4,,토탄,그 외 기타 비금속 광물 광업,07290,그 외 기타 비금속 광물 광업
38,131000,131000,B,광업,13,금속 광업,131,철 광업,1310,철 광업,철 광업,1,06100,B,광업,06,금속 광업,61,철 광업,0610,철 광업,철 광업,2,1,,철 광업,06100,철 광업
39,131000,131003,B,광업,13,금속 광업,131,비철금속 광업,1310,비철금속 광업,비철금속 광업,1,06200,B,광업,06,금속 광업,62,비철금속 광업,0620,비철금속 광업,비철금속 광업,4,,"텅스텐, 몰리브덴",비철금속 광업,06210,우라늄 및 토륨 광업
39,131000,131003,B,광업,13,금속 광업,131,비철금속 광업,1310,비철금속 광업,비철금속 광업,1,06200,B,광업,06,금속 광업,62,비철금속 광업,0620,비철금속 광업,비철금속 광업,4,,"텅스텐, 몰리브덴",  ,06291,금ㆍ은 및 백금광업
39,131000,131003,B,광업,13,금속 광업,131,비철금속 광업,1310,비철금속 광업,비철금속 광업,1,06200,B,광업,06,금속 광업,62,비철금속 광업,0620,비철금속 광업,비철금속 광업,4,,"텅스텐, 몰리브덴",  ,06292,연 및 아연광업
39,131000,131003,B,광업,13,금속 광업,131,비철금속 광업,1310,비철금속 광업,비철금속 광업,1,06200,B,광업,06,금속 광업,62,비철금속 광업,0620,비철금속 광업,비철금속 광업,4,,"텅스텐, 몰리브덴",  ,06299,그 외 기타 비철금속 광업
40,132002,132002,B,광업,13,금속 광업,132,비철금속 광업,1320,비철금속 광업,비철금속 광업,1,06200,B,광업,06,금속 광업,62,비철금속 광업,0620,비철금속 광업,비철금속 광업,4,,기타 비철금속,비철금속 광업,06210,우라늄 및 토륨 광업
40,132002,132002,B,광업,13,금속 광업,132,비철금속 광업,1320,비철금속 광업,비철금속 광업,1,06200,B,광업,06,금속 광업,62,비철금속 광업,0620,비철금속 광업,비철금속 광업,4,,기타 비철금속,  ,06291,금ㆍ은 및 백금광업
40,132002,132002,B,광업,13,금속 광업,132,비철금속 광업,1320,비철금속 광업,비철금속 광업,1,06200,B,광업,06,금속 광업,62,비철금속 광업,0620,비철금속 광업,비철금속 광업,4,,기타 비철금속,  ,06292,연 및 아연광업
40,132002,132002,B,광업,13,금속 광업,132,비철금속 광업,1320,비철금속 광업,비철금속 광업,1,06200,B,광업,06,금속 광업,62,비철금속 광업,0620,비철금속 광업,비철금속 광업,4,,기타 비철금속,  ,06299,그 외 기타 비철금속 광업
41,132003,132003,B,광업,13,금속 광업,132,비철금속 광업,1320,비철금속 광업,비철금속 광업,1,06200,B,광업,06,금속 광업,62,비철금속 광업,0620,비철금속 광업,비철금속 광업,4,1,"금ㆍ은 및 백금, 동광석",비철금속 광업,06210,우라늄 및 토륨 광업
41,132003,132003,B,광업,13,금속 광업,132,비철금속 광업,1320,비철금속 광업,비철금속 광업,1,06200,B,광업,06,금속 광업,62,비철금속 광업,0620,비철금속 광업,비철금속 광업,4,1,"금ㆍ은 및 백금, 동광석",  ,06291,금ㆍ은 및 백금광업
41,132003,132003,B,광업,13,금속 광업,132,비철금속 광업,1320,비철금속 광업,비철금속 광업,1,06200,B,광업,06,금속 광업,62,비철금속 광업,0620,비철금속 광업,비철금속 광업,4,1,"금ㆍ은 및 백금, 동광석",  ,06292,연 및 아연광업
41,132003,132003,B,광업,13,금속 광업,132,비철금속 광업,1320,비철금속 광업,비철금속 광업,1,06200,B,광업,06,금속 광업,62,비철금속 광업,0620,비철금속 광업,비철금속 광업,4,1,"금ㆍ은 및 백금, 동광석",  ,06299,그 외 기타 비철금속 광업
42,141001,141001,B,광업,14,비금속광물 광업; 연료용 제외,141,토사석 광업,1410,"석재, 쇄석 및 모래, 자갈 채취업",건설용 석재 채굴 및 쇄석 생산업,1,07121,B,광업,07,비금속광물 광업; 연료용 제외,71,토사석 광업,0712,"석재, 쇄석 및 모래, 자갈 채취업",건설용 석재 채굴 및 쇄석 생산업,3,2,건설용 석재 채굴,건설용 석재 채굴 및 쇄석 생산업,07121,건설용 석재 채굴업
