,일련번호,2018년 귀속(현행)업종코드,2019년 귀속(개편후)업종코드,국세청_대분류코드,국세청_대분류,국세청_중분류코드,국세청_중분류,국세청_소분류코드,국세청_소분류,국세청_세분류코드,국세청_세분류,국세청_세세분류,국세청_연계,KSIC10_코드,KSIC10_대분류코드,KSIC10_대분류,KSIC10_중분류코드,KSIC10_중분류,KSIC10_소분류코드,KSIC10_소분류,KSIC10_세분류코드,KSIC10_세분류,KSIC10_세세분류,KSIC10_연계,메인,세부설명,KSIC10_항목명,KSIC9_코드,KSIC9_항목명,KSIC_CODE,산업명
15,13.0,12103.0,12103.0,A,"농업, 임업 및 어업",1.0,농업,12.0,축산업,121.0,기타 축산업,"그 외 기타 축산업(사슴, 토끼, 개)",1.0,1299.0,A,"농업, 임업 및 어업",1.0,농업,12.0,축산업,129.0,기타 축산업,그 외 기타 축산업,2,,"사슴, 토끼, 개",그 외 기타 축산업,1299.0,그 외 기타 축산업,A01,농림어업
16,14.0,12101.0,12104.0,A,"농업, 임업 및 어업",1.0,농업,12.0,축산업,121.0,소 사육업,젖소 사육업,1.0,1211.0,A,"농업, 임업 및 어업",1.0,농업,12.0,축산업,121.0,소 사육업,젖소 사육업,1,,,젖소 사육업,1211.0,젖소 사육업,A01,농림어업
17,15.0,12201.0,12201.0,A,"농업, 임업 및 어업",1.0,농업,12.0,축산업,122.0,양돈업,양돈업,1.0,1220.0,A,"농업, 임업 및 어업",1.0,농업,12.0,축산업,122.0,양돈업,양돈업,1,,,양돈업,1220.0,양돈업,A01,농림어업
18,16.0,12202.0,12202.0,A,"농업, 임업 및 어업",1.0,농업,12.0,축산업,122.0,가금류 및 조류 사육업,양계업,1.0,1231.0,A,"농업, 임업 및 어업",1.0,농업,12.0,축산업,123.0,가금류 및 조류 사육업,양계업,1,,,양계업,1231.0,양계업,A01,농림어업
19,17.0,12203.0,12203.0,A,"농업, 임업 및 어업",1.0,농업,12.0,축산업,122.0,가금류 및 조류 사육업,기타 가금류 및 조류 사육업,1.0,1239.0,A,"농업, 임업 및 어업",1.0,농업,12.0,축산업,123.0,가금류 및 조류 사육업,기타 가금류 및 조류 사육업,1,,,기타 가금류 및 조류 사육업,1239.0,기타 가금류 및 조류 사육업,A01,농림어업
20,18.0,12204.0,12204.0,A,"농업, 임업 및 어업",1.0,농업,12.0,축산업,122.0,기타 축산업,그 외 기타 축산업,1.0,1299.0,A,"농업, 임업 및 어업",1.0,농업,12.0,축산업,129.0,기타 축산업,그 외 기타 축산업,2,1.0,,그 외 기타 축산업,1299.0,그 외 기타 축산업,A01,농림어업
21,19.0,14300.0,14300.0,A,"농업, 임업 및 어업",1.0,농업,14.0,작물재배 및 축산 관련 서비스업,143.0,축산 관련 서비스업,축산 관련 서비스업,1.0,1420.0,A,"농업, 임업 및 어업",1.0,농업,14.0,작물재배 및 축산 관련 서비스업,142.0,축산 관련 서비스업,축산 관련 서비스업,1,,,축산 관련 서비스업,1420.0,축산 관련 서비스업,A01,농림어업
22,19.0,14300.0,14300.0,A,"농업, 임업 및 어업",1.0,농업,14.0,작물재배 및 축산 관련 서비스업,143.0,축산 관련 서비스업,축산 관련 서비스업,1.0,1420.0,A,"농업, 임업 및 어업",1.0,농업,14.0,작물재배 및 축산 관련 서비스업,142.0,축산 관련 서비스업,축산 관련 서비스업,1,,,  ,73100.0,수의업,A01,농림어업
23,20.0,14300.0,14301.0,A,"농업, 임업 및 어업",1.0,농업,14.0,작물재배 및 축산 복합농업,143.0,작물재배 및 축산 복합농업,작물재배 및 축산 복합농업,1.0,1300.0,A,"농업, 임업 및 어업",1.0,농업,13.0,작물재배 및 축산 복합농업,130.0,작물재배 및 축산 복합농업,작물재배 및 축산 복합농업,1,,,작물재배 및 축산 복합농업,1300.0,작물재배 및 축산 복합농업,A01,농림어업
24,21.0,14300.0,14302.0,A,"농업, 임업 및 어업",1.0,농업,14.0,작물재배 및 축산 관련 서비스업,143.0,작물재배 관련 서비스업,작물재배 지원 서비스업,1.0,1411.0,A,"농업, 임업 및 어업",1.0,농업,14.0,작물재배 및 축산 관련 서비스업,141.0,작물재배 관련 서비스업,작물재배 지원 서비스업,1,,,작물재배 지원 서비스업,1411.0,작물재배 지원 서비스업,A01,농림어업
