국세청_대분류코드,국세청_대분류,국세청_중분류코드,국세청_중분류,국세청_소분류코드,국세청_소분류,KSIC10_코드,KSIC10_대분류코드,KSIC10_대분류,KSIC10_중분류코드,KSIC10_중분류,KSIC10_소분류코드,KSIC10_소분류,KSIC9_코드,KSIC9_항목명,산업명,IPC_CODE
C,제조업,26.0,비금속 광물제품 제조업,269.0,기타 비금속 광물제품 제조업,23911.0,C,제조업,23.0,비금속 광물제품 제조업,239.0,기타 비금속 광물제품 제조업,23911.0,건설용 석제품 제조업,비금속광물제품 제조업,IC = (A47K* or B24D* or B28B* or B28C* or B28D* or B32B* or C01B* or C03B* or C03C* or C04B* or E03D* or E04B* or E04C* or E04D* or E04F*)
C,제조업,27.0,1차 금속 제조업,271.0,1차 철강 제조업,24111.0,C,제조업,24.0,1차 금속 제조업,241.0,1차 철강 제조업,24111.0,제철업,1차 철강제조업,IC = (B21C* or C21B* or C21C* or C21D* or C22C* or F16S* or F17C*)
C,제조업,27.0,1차 금속 제조업,272.0,1차 비철금속 제조업,24219.0,C,제조업,24.0,1차 금속 제조업,242.0,1차 비철금속 제조업,24219.0,"기타 비철금속 제련, 정련 및 합금 제조업",1차 비철금속 제조업,IC = (C22F* or C25C* or (G21H* not (G21H-001*)))
C,제조업,27.0,1차 금속 제조업,273.0,금속 주조업,24311.0,C,제조업,24.0,1차 금속 제조업,243.0,금속 주조업,24311.0,선철주물 주조업,금속주조업,IC = (B22D*)
C,제조업,28.0,금속 가공제품 제조업; 기계 및 가구 제외,281.0,"구조용 금속제품, 탱크 및 증기발생기 제조업",25111.0,C,제조업,25.0,금속가공제품 제조업; 기계 및 가구 제외,251.0,"구조용 금속제품, 탱크 및 증기발생기 제조업",25111.0,"금속 문, 창, 셔터 및 관련 제품 제조업","구조용 금속제품, 탱크, 증기발생기 제조업",IC = (A47H* or B21G* or F16T* or F17B* or F22B* or F22G* or F24D* or F24H* or G21B* or G21C* or G21D*)
C,제조업,28.0,금속 가공제품 제조업; 기계 및 가구 제외,281.0,기타 금속 가공제품 제조업,25999.0,C,제조업,25.0,금속가공제품 제조업; 기계 및 가구 제외,259.0,기타 금속 가공제품 제조업,25941.0,금속파스너 및 나사제품 제조업,기타 금속가공 제품 제조업,IC = (A01L* or A44B-011* or B21D* or B21F* or B21H* or B21J* or B21K* or B21L* or B22F* or B23B* or B23C* or B23D* or B23G* or B23H* or B25B* or B25C* or B25F* or B25G* or B25H* or B26B* or B26F* or B27B* or B27G* or C23D* or C25D* or E05D* or E05G* or F16B*)
C,제조업,28.0,기타 기계 및 장비 제조업,281.0,일반 목적용 기계 제조업,29133.0,C,제조업,29.0,기타 기계 및 장비 제조업,291.0,일반 목적용 기계 제조업,29133.0,"탭, 밸브 및 유사장치 제조업",사무용 이외의 일반기계 제조업,IC = (B01B* or B01D* or B04C* or B05B* or B23F* or B25D* or B41K* or B60S-003* or B65B* or B65C* or B65G* or B66B* or B66C* or B66D* or B66F* or B67C* or C10F* or C12L* or E01H* or E02C* or E21F* or F01B* or F01C* or F01D* or F01K* or F01M* or F01N* or F01P* or F02G* or F03B* or F03C* or F03G* or F04B* or F04C* or F04D* or F04F* or F15B* or F15C* or F15D* or F16C* or F16D* or F16F* or F16G* or F16H* or F16K* or F16M* or F17D* or F22-000* or F23B* or F23C* or F23D* or F23G* or F23H* or F23J* or F23K* or F23L* or F23M* or F23N* or F23R* or F24F* or F24J* or F25B* or F25C* or F25D* or F25J* or F27B* or F27D* or F28B* or F28C* or F28D* or F28F* or F28G* or G01G* or G07F* or G09D* or G09G*)
C,제조업,29.0,기타 기계 및 장비 제조업,292.0,특수 목적용 기계 제조업,29210.0,C,제조업,29.0,기타 기계 및 장비 제조업,292.0,특수 목적용 기계 제조업,29210.0,농업 및 임업용 기계 제조업,특수 기계제조업,IC = (A01F* or A01J* or A01M* or A21B* or A21C* or A22B* or A22C* or A23N* or A24C* or A41H* or A43D* or A62C* or B01F* or B02B* or B02C* or B03B* or B03C* or B03D* or B05C* or B06B* or B07B* or B07C* or B08B* or B21B* or B22C* or B23K* or B23P* or B23Q* or B24B* or B24C* or B25J* or B26D* or B27C* or B27F* or B27J* or B27L* or B30B* or B31B* or B31C* or B31D* or B31F* or B41B* or B41C* or B41D* or B41F* or B41G* or B41N* or B42B* or B42C* or B44B* or B44C* or B65H* or B67B* or B68F* or C14B* or C23C* or D01B* or D01G* or D01H* or D02G* or D02H* or D02J* or D03C* or D03D* or D03J* or D04B* or D04C* or D05B* or D05C* or D06B* or D06G* or D06H* or D21B* or D21D* or D21F* or D21G* or D99Z* or E02F* or E21B* or F01L* or F02B* or F02D* or F02F* or F16N* or F16P* or F26B* or H05H* or (A01B* not (A01B-027/02)) or (A42C* not (A42C-005*)) or (B41J* not (B41J-001* or B41J-002* or B41J-027* or B41J-029* or B41J-031* or B41J-032* or B41J-033* or B41J-035*)))
C,제조업,29.0,금속 가공제품 제조업; 기계 및 가구 제외,292.0,무기 및 총포탄 제조업,25200.0,C,제조업,25.0,금속가공제품 제조업; 기계 및 가구 제외,252.0,무기 및 총포탄 제조업,25200.0,무기 및 총포탄 제조업,무기 및 총포탄 제조업,IC = (F41A* or F41B* or F41C* or F41F* or F41G* or F41J* or F42C* or (F41H* not (F41H-007*)))
C,제조업,29.0,전기장비 제조업,293.0,가정용 기기 제조업,28511.0,C,제조업,28.0,전기장비 제조업,285.0,가정용 기기 제조업,28511.0,주방용 전기기기 제조업,가정용 기기 제조업,IC = (A45D* or A47G* or A47J* or A47L* or D06F* or E06C* or F24B* or F24C* or H05B*)
C,제조업,30.0,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",300.0,컴퓨터 및 주변 장치 제조업,26310.0,C,제조업,26.0,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",263.0,컴퓨터 및 주변 장치 제조업,26310.0,컴퓨터 제조업,컴퓨터 및 주변장치 제조업,IC = (B41J-002* or B41J-027* or B41J-029* or B41J-031* or B41J-032* or B41J-033* or B41J-035* or G06J* or G06F-001* or G06F-003* or G06K*)
C,제조업,31.0,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",311.0,전자 부품 제조업,26294.0,C,제조업,26.0,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",262.0,전자 부품 제조업,26295.0,"전자코일, 변성기 및 기타 전자유도자 제조업",전자부품 제조업,IC = (B05D* or B81B* or B81C* or B82B* or B82Y* or C30B* or G02F-001* or G12B* or H01C* or H01F* or H01G* or H01J* or H05K* or H03K* or H03L*)
C,제조업,31.0,전기장비 제조업,311.0,"전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업",28111.0,C,제조업,28.0,전기장비 제조업,281.0,"전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업",28111.0,전동기 및 발전기 제조업,"전동기, 발전기 및 전기변환, 공급, 제어장치 제조업",IC = (F99Z* or H02B* or H02J* or H02K* or H02N* or H02P*)
C,제조업,31.0,전기장비 제조업,313.0,절연선 및 케이블 제조업,28302.0,C,제조업,28.0,전기장비 제조업,283.0,절연선 및 케이블 제조업,28302.0,기타 절연선 및 케이블 제조업,절연선 및 케이블제조업,IC = (H01B* or H01H* or H01R* or H02G*)
C,제조업,31.0,전기장비 제조업,314.0,일차전지 및 축전지 제조업,28202.0,C,제조업,28.0,전기장비 제조업,282.0,일차전지 및 축전지 제조업,28202.0,축전지 제조업,일차전지 및 축전지 제조업,IC = (H01M*)
C,제조업,31.0,전기장비 제조업,315.0,전구 및 조명장치 제조업,28422.0,C,제조업,28.0,전기장비 제조업,284.0,전구 및 조명장치 제조업,28422.0,일반용 전기 조명장치 제조업,전구 및 조명장치 제조업,IC = (B60Q* or F21H* or F21K* or F21L* or F21S* or F21V* or F21W* or F21Y* or H01K*)
C,제조업,31.0,전기장비 제조업,319.0,기타 전기장비 제조업,28909.0,C,제조업,28.0,전기장비 제조업,289.0,기타 전기장비 제조업,28909.0,그 외 기타 전기장비 제조업,기타 전기장비 제조업,IC = (B60M* or C25F* or G08B* or G08G* or G10K* or H01T* or H02H* or H02M* or H05C* or H05F*)
C,제조업,32.0,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",321.0,반도체 제조업,26129.0,C,제조업,26.0,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",261.0,반도체 제조업,26120.0,"다이오드, 트랜지스터 및 유사 반도체소자 제조업",반도체 제조업,IC = (G11C* or H01L*)
C,제조업,32.0,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",322.0,통신 및 방송장비 제조업,26410.0,C,제조업,26.0,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",264.0,통신 및 방송장비 제조업,26410.0,유선 통신장비 제조업,통신 및 방송 장비 제조업,IC = (G03H* or H01P* or H01Q* or H01S* or H03B* or H03C* or H03D* or H03F* or H03G* or H03H* or H03M* or H04B* or H04J* or H04K* or H04L* or H04M* or H04Q* or H04S* or H04W* or H99Z*)
C,제조업,32.0,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",323.0,영상 및 음향 기기 제조업,26519.0,C,제조업,26.0,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",265.0,영상 및 음향 기기 제조업,26519.0,비디오 및 기타 영상기기 제조업,영상 및 음향기기 제조업,IC = (G03B-031* or G10L* or H03J* or H04H* or H04N* or H04R*)
C,제조업,33.0,"의료, 정밀, 광학 기기 및 시계 제조업",331.0,의료용 기기 제조업,27112.0,C,제조업,27.0,"의료, 정밀, 광학 기기 및 시계 제조업",271.0,의료용 기기 제조업,27112.0,전기식 진단 및 요법 기기 제조업,의료용 기기 제조업,IC = (A61B* or A61C* or A61D* or A61F* or A61G* or A61H* or A61J* or A61L* or A61M* or A61N* or A62B* or B01L* or B04B* or C12M* or G01T* or G03B-042* or H05G*)
C,제조업,33.0,"의료, 정밀, 광학 기기 및 시계 제조업",331.0,"측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업; 광학 기기 제외",27213.0,C,제조업,27.0,"의료, 정밀, 광학 기기 및 시계 제조업",272.0,"측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업; 광학 기기 제외",27213.0,"물질 검사, 측정 및 분석기구 제조업","측정, 시험, 향해, 제어, 및 기타 정밀기기 제조업",IC = (G01B* or G01C* or G01D* or G01F* or G01H* or G01J* or G01K* or G01L* or G01M* or G01N* or G01P* or G01Q* or G01R* or G01S* or G01V* or G01W* or G05B* or G05D* or G05F* or G21K* or G08C*)
C,제조업,33.0,"의료, 정밀, 광학 기기 및 시계 제조업",332.0,사진장비 및 광학 기기 제조업,27302.0,C,제조업,27.0,"의료, 정밀, 광학 기기 및 시계 제조업",273.0,사진장비 및 광학 기기 제조업,27322.0,"사진기, 영사기 및 관련 장비 제조업","안경, 사진장비 및 기타 광학기기 제조업",IC = (G02B* or G02C* or G03D* or G02F-002* or G02F-003* or G02F-007* or G03C-005* or G03C-009* or G03C-011* or G03F* or (G03B* not (G03B-031* or G03B-042*)))
C,제조업,33.0,"의료, 정밀, 광학 기기 및 시계 제조업",333.0,시계 및 시계 부품 제조업,27400.0,C,제조업,27.0,"의료, 정밀, 광학 기기 및 시계 제조업",274.0,시계 및 시계 부품 제조업,27401.0,시계 제조업,시계 및 시계부품 제조업,IC = (G04B* or G04C* or G04D* or G04F* or G04G* or G04R*)
C,제조업,34.0,자동차 및 트레일러 제조업,341.0,자동차용 엔진 및 자동차 제조업,30122.0,C,제조업,30.0,자동차 및 트레일러 제조업,301.0,자동차용 엔진 및 자동차 제조업,30122.0,화물자동차 및 특수 목적용 자동차 제조업,자동차 제조업,IC = (B60B* or B60D* or B60F* or B60G* or B60H* or B60J* or B60K* or B60N* or B60P* or B60R* or B60T* or B60W* or B62D* or E05F* or F02M* or F02N* or F02P* or F16J* or G05G* or (B60L* not (B60L-013*)) or (B60S* not (B60S-003*)))
C,제조업,34.0,자동차 및 트레일러 제조업,342.0,자동차 차체 및 트레일러 제조업,30203.0,C,제조업,30.0,자동차 및 트레일러 제조업,302.0,자동차 차체 및 트레일러 제조업,30202.0,트레일러 및 세미트레일러 제조업,자동차 제조업,IC = (B60B* or B60D* or B60F* or B60G* or B60H* or B60J* or B60K* or B60N* or B60P* or B60R* or B60T* or B60W* or B62D* or E05F* or F02M* or F02N* or F02P* or F16J* or G05G* or (B60L* not (B60L-013*)) or (B60S* not (B60S-003*)))
C,제조업,34.0,자동차 및 트레일러 제조업,343.0,자동차 재제조 부품 제조업,30400.0,C,제조업,30.0,자동차 및 트레일러 제조업,304.0,자동차 재제조 부품 제조업,30310.0,자동차 엔진용 부품 제조업,자동차 제조업,IC = (B60B* or B60D* or B60F* or B60G* or B60H* or B60J* or B60K* or B60N* or B60P* or B60R* or B60T* or B60W* or B62D* or E05F* or F02M* or F02N* or F02P* or F16J* or G05G* or (B60L* not (B60L-013*)) or (B60S* not (B60S-003*)))
C,제조업,35.0,기타 운송장비 제조업,351.0,선박 및 보트 건조업,31111.0,C,제조업,31.0,기타 운송장비 제조업,311.0,선박 및 보트 건조업,31111.0,강선 건조업,선박 제조업,IC = (B60V* or B63B* or B63C* or B63G* or B63H* or B63J*)
C,제조업,35.0,기타 운송장비 제조업,352.0,철도장비 제조업,31202.0,C,제조업,31.0,기타 운송장비 제조업,312.0,철도장비 제조업,31202.0,철도차량 부품 및 관련 장치물 제조업,철도장비 제조업,IC = (B60L-013* or B61B* or B61C* or B61D* or B61F* or B61G* or B61H* or B61J* or B61K* or B61L* or E01B*)
C,제조업,35.0,기타 운송장비 제조업,353.0,"항공기, 우주선 및 부품 제조업",31322.0,C,제조업,31.0,기타 운송장비 제조업,313.0,"항공기, 우주선 및 부품 제조업",31322.0,항공기용 부품 제조업,항공기 제조업,IC = (B64B* or B64C* or B64D* or B64F* or B64G* or F02K* or F03H*)
C,제조업,35.0,기타 운송장비 제조업,359.0,그 외 기타 운송장비 제조업,31920.0,C,제조업,31.0,기타 운송장비 제조업,319.0,그 외 기타 운송장비 제조업,31920.0,모터사이클 제조업,모터사이클 제조업,IC = (B62J* or B62K-011* or B62M-006* or B62M-007*)
C,제조업,36.0,가구 제조업,361.0,가구 제조업,32091.0,C,제조업,32.0,가구 제조업,320.0,가구 제조업,32091.0,금속 가구 제조업,가구 제조업,IC = (A47B* or A47C* or A47D* or A47F*)
C,제조업,36.0,기타 제품 제조업,369.0,귀금속 및 장신용품 제조업,33110.0,C,제조업,33.0,기타 제품 제조업,331.0,귀금속 및 장신용품 제조업,33110.0,귀금속 및 관련 제품 제조업,기타제품 제조업,IC = (A41G* or A45B* or A45F* or A46B* or A46D* or A63B* or A63C* or A63D* or A63F* or A63G* or A63H* or A63J* or A63K* or A99Z* or B43K* or B43L* or B43M* or B44D* or B44F* or B68G* or B99Z* or D07B* or F23Q* or G09B* or G09F* or G10B* or G10C* or G10D* or G10F* or G10G* or G10H* or (A44B* not (A44B-011*)) or (A44C* not (A44C-023*)))
C,제조업,36.0,기타 제품 제조업,369.0,악기 제조업,33209.0,C,제조업,33.0,기타 제품 제조업,332.0,악기 제조업,33202.0,현악기 제조업,기타제품 제조업,IC = (A41G* or A45B* or A45F* or A46B* or A46D* or A63B* or A63C* or A63D* or A63F* or A63G* or A63H* or A63J* or A63K* or A99Z* or B43K* or B43L* or B43M* or B44D* or B44F* or B68G* or B99Z* or D07B* or F23Q* or G09B* or G09F* or G10B* or G10C* or G10D* or G10F* or G10G* or G10H* or (A44B* not (A44B-011*)) or (A44C* not (A44C-023*)))
C,제조업,36.0,기타 제품 제조업,369.0,운동 및 경기용구 제조업,33301.0,C,제조업,33.0,기타 제품 제조업,333.0,운동 및 경기용구 제조업,33301.0,"체조, 육상 및 체력 단련용 장비 제조업",기타제품 제조업,IC = (A41G* or A45B* or A45F* or A46B* or A46D* or A63B* or A63C* or A63D* or A63F* or A63G* or A63H* or A63J* or A63K* or A99Z* or B43K* or B43L* or B43M* or B44D* or B44F* or B68G* or B99Z* or D07B* or F23Q* or G09B* or G09F* or G10B* or G10C* or G10D* or G10F* or G10G* or G10H* or (A44B* not (A44B-011*)) or (A44C* not (A44C-023*)))
C,제조업,36.0,기타 제품 제조업,369.0,"인형, 장난감 및 오락용품 제조업",33401.0,C,제조업,33.0,기타 제품 제조업,334.0,"인형, 장난감 및 오락용품 제조업",33401.0,인형 및 장난감 제조업,기타제품 제조업,IC = (A41G* or A45B* or A45F* or A46B* or A46D* or A63B* or A63C* or A63D* or A63F* or A63G* or A63H* or A63J* or A63K* or A99Z* or B43K* or B43L* or B43M* or B44D* or B44F* or B68G* or B99Z* or D07B* or F23Q* or G09B* or G09F* or G10B* or G10C* or G10D* or G10F* or G10G* or G10H* or (A44B* not (A44B-011*)) or (A44C* not (A44C-023*)))
C,제조업,36.0,기타 제품 제조업,369.0,그 외 기타 제품 제조업,33931.0,C,제조업,33.0,기타 제품 제조업,339.0,그 외 기타 제품 제조업,33931.0,가발 및 유사 제품 제조업,기타제품 제조업,IC = (A41G* or A45B* or A45F* or A46B* or A46D* or A63B* or A63C* or A63D* or A63F* or A63G* or A63H* or A63J* or A63K* or A99Z* or B43K* or B43L* or B43M* or B44D* or B44F* or B68G* or B99Z* or D07B* or F23Q* or G09B* or G09F* or G10B* or G10C* or G10D* or G10F* or G10G* or G10H* or (A44B* not (A44B-011*)) or (A44C* not (A44C-023*)))
D,"전기, 가스, 증기 및 공기 조절 공급업",40.0,"전기, 가스, 증기 및 공기 조절 공급업",401.0,전기업,35114.0,D,"전기, 가스, 증기 및 공기 조절 공급업",35.0,"전기, 가스, 증기 및 공기 조절 공급업",351.0,전기업,35119.0,기타 발전업,"전기, 가스, 증기, 수도",IC = (F02C* or F03D* or H02S* or G21H-001*)
D,"전기, 가스, 증기 및 공기 조절 공급업",40.0,"전기, 가스, 증기 및 공기 조절 공급업",402.0,연료용 가스 제조 및 배관공급업,35200.0,D,"전기, 가스, 증기 및 공기 조절 공급업",35.0,"전기, 가스, 증기 및 공기 조절 공급업",352.0,연료용 가스 제조 및 배관공급업,35200.0,가스 제조 및 배관공급업,"전기, 가스, 증기, 수도",IC = (F02C* or F03D* or H02S* or G21H-001*)
D,"전기, 가스, 증기 및 공기 조절 공급업",40.0,"전기, 가스, 증기 및 공기 조절 공급업",403.0,"증기, 냉ㆍ온수 및 공기 조절 공급업",35300.0,D,"전기, 가스, 증기 및 공기 조절 공급업",35.0,"전기, 가스, 증기 및 공기 조절 공급업",353.0,"증기, 냉ㆍ온수 및 공기 조절 공급업",35300.0,"증기, 냉온수 및 공기조절 공급업","전기, 가스, 증기, 수도",IC = (F02C* or F03D* or H02S* or G21H-001*)
E,"수도, 하수 및 폐기물 처리, 원료 재생업",35.0,"폐기물 수집, 운반, 처리 및 원료 재생업",351.0,"해체, 선별 및 원료 재생업",38311.0,E,"수도, 하수 및 폐기물 처리, 원료 재생업",38.0,"폐기물 수집, 운반, 처리 및 원료 재생업",383.0,"해체, 선별 및 원료 재생업",38301.0,금속원료 재생업,"하수, 폐기물처리, 원료재생, 환경복원",IC = (B09B* or B09C* or B65F* or C02F* or G21F*)
